,UniProt ID,InChI Key,Parameter,Value,Unit,Database Source,Database Target ID,Database Ligand ID,Reference,Interaction_type
810,P21554,ZGERPQYLMALGRP-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL218,CHEMBL3410718,25644673,0
811,P19327,JCKQMQMMZHMRFM-UHFFFAOYSA-N,IC50,40.3,nM,ChEMBL,CHEMBL273,CHEMBL425134,7699710,1
812,P50406,ZHKSBEBKWSIVCL-UHFFFAOYSA-N,IC50,3,nM,ChEMBL,CHEMBL3371,CHEMBL1222134,20655748,1
813,P33533,NIEYJJXWPSBIJP-JONZOVCNSA-N,IC50,4,nM,ChEMBL,CHEMBL269,CHEMBL338462,9397176,1
814,P30560,VNILDMRWMFJETB-UHFFFAOYSA-N,IC50,210,nM,ChEMBL,CHEMBL2868,CHEMBL60736,8393113,1
815,P35367,ZNPXEYURFNQPAK-UHFFFAOYSA-N,IC50,390,nM,ChEMBL,CHEMBL231,CHEMBL1783966,19443217,1
816,Q99500,DKGZKTPJOSAWFA-UHFFFAOYSA-N,IC50,>50000,nM,ChEMBL,CHEMBL3892,CHEMBL267930,PubChem BioAssay data set,0
817,P20309,WIHMMKGUBDZGEG-UHFFFAOYSA-N,IC50,3162.28,nM,ChEMBL,CHEMBL245,CHEMBL244946,17867665,0
818,O43614,KVMCNVWYIACSPG-STQMWFEESA-N,IC50,>10000,nM,ChEMBL,CHEMBL4792,CHEMBL3963632,None,0
819,Q969V1,FKLOHGYBYOWNQD-UHFFFAOYSA-N,IC50,>10,nM,ChEMBL,CHEMBL5038,CHEMBL197245,16134937,1
820,P07550,NBNRSFFDMVCNEX-MHZLTWQESA-N,IC50,1000,nM,ChEMBL,CHEMBL210,CHEMBL284965,10888324,1
821,P11229,PWWVAXIEGOYWEE-UHFFFAOYSA-N,IC50,14,nM,ChEMBL,CHEMBL216,CHEMBL643,DrugMatrix in vitro pharmacology data,1
822,P32300,PMJPFGGZUXOYBP-HNXFJGINSA-N,IC50,>6000,nM,ChEMBL,CHEMBL3222,CHEMBL384566,8096246,0
823,P24530,NNAQTUFNGOEBBT-ONEGZZNKSA-N,IC50,5370,nM,ChEMBL,CHEMBL1785,CHEMBL176854,"Bioorg. Med. Chem. Lett., (1997) 7:7:939",0
824,P25101,LKDZAJCVVWLFTK-UHFFFAOYSA-N,IC50,7.4,nM,ChEMBL,CHEMBL252,CHEMBL1271807,20932745,1
825,P11229,ILPANLYEJQKXKY-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL216,CHEMBL595449,19646882,0
826,P18901,RZOTXAGRCRSXDN-MRXNPFEDSA-N,IC50,>10000,nM,ChEMBL,CHEMBL265,CHEMBL107519,2147956,0
827,P61169,NICAAVHYYGSEJF-UHFFFAOYSA-N,IC50,335,nM,ChEMBL,CHEMBL339,CHEMBL112124,1662725,1
828,Q99500,OMYVVCMUBPVIEB-UHFFFAOYSA-N,IC50,>25000,nM,ChEMBL,CHEMBL3892,CHEMBL1393906,PubChem BioAssay data set,0
829,P08485,IWSOFJPLHFSLJW-UHFFFAOYSA-N,IC50,>150000,nM,ChEMBL,CHEMBL317,CHEMBL255523,18178088,0
830,P08913,PHLBKPHSAVXXEF-UHFFFAOYSA-N,IC50,909,nM,ChEMBL,CHEMBL1867,CHEMBL621,DrugMatrix in vitro pharmacology data,1
831,P11229,SOYKEARSMXGVTM-HNNXBMFYSA-N,IC50,1383,nM,ChEMBL,CHEMBL216,CHEMBL1201353,DrugMatrix in vitro pharmacology data,0
832,P35372,RVBUOUGRRSNQSV-UHFFFAOYSA-N,IC50,5440,nM,ChEMBL,CHEMBL233,CHEMBL129315,11052794,0
833,Q9H228,QIPIWIXFCSCVEI-IBGZPJMESA-N,IC50,0.5,nM,ChEMBL,CHEMBL2274,CHEMBL198415,16190743,1
834,P19327,BLGXFZZNTVWLAY-SCYLSFHTSA-N,IC50,126,nM,ChEMBL,CHEMBL273,CHEMBL15245,DrugMatrix in vitro pharmacology data,1
835,P35346,QKUJLDUSHLWKBM-JUIILJOSSA-N,IC50,>1000,nM,ChEMBL,CHEMBL1792,CHEMBL440083,11405660,1
836,P30553,RCDATCVHPIFQKB-UHFFFAOYSA-N,IC50,200,nM,ChEMBL,CHEMBL3508,CHEMBL125925,1732532,1
837,P33533,PHYKBLCQEUMTBM-LJWNLINESA-N,IC50,3150,nM,ChEMBL,CHEMBL269,CHEMBL223552,17395470,0
838,P70536,SOXQJPCRICFUHO-QTRWAJEPSA-N,IC50,12,nM,ChEMBL,CHEMBL3996,CHEMBL2112666,8258821,1
839,P49146,ZMIPLTFCRFYPCJ-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL4018,CHEMBL508271,18723347,0
840,P28223,ULFRLSNUDGIQQP-UHFFFAOYSA-N,IC50,7943.28,nM,ChEMBL,CHEMBL224,CHEMBL905,7752204,0
841,P35462,QATNQFJQXRFOHL-UHFFFAOYSA-N,IC50,2120,nM,ChEMBL,CHEMBL234,CHEMBL115652,11585444,0
842,P35463,PICOWOXEXWMNKL-UHFFFAOYSA-N,IC50,1300,nM,ChEMBL,CHEMBL3949,CHEMBL62669,11985472,0
843,P28564,CVBMSXGNWVNTDT-UHFFFAOYSA-N,IC50,2700,nM,ChEMBL,CHEMBL3459,CHEMBL133375,8863806,0
844,P11229,YCELWYOPQGUTDN-ACEFPKFPSA-N,IC50,>3162.28,nM,ChEMBL,CHEMBL216,CHEMBL451040,18818072,0
845,P13945,OGHNVEJMJSYVRP-UHFFFAOYSA-N,IC50,4.155,nM,ChEMBL,CHEMBL246,CHEMBL723,DrugMatrix in vitro pharmacology data,1
846,P31391,HSEUREIITKFFDC-NQHQVAJESA-N,IC50,>10000,nM,ChEMBL,CHEMBL1853,CHEMBL2114095,11405660,0
847,P0DMS8,SHEGXBQWTASRIG-UHFFFAOYSA-N,IC50,212,nM,ChEMBL,CHEMBL256,CHEMBL2070883,22568637,1
848,P35351,URCZJSKTKVZELY-UHFFFAOYSA-N,IC50,15,nM,ChEMBL,CHEMBL257,CHEMBL291818,"Bioorg. Med. Chem. Lett., (1993) 3:10:2023",1
849,Q63931,KIKLUNVCYSNJTN-BBACVFHCSA-N,IC50,9.4,nM,ChEMBL,CHEMBL3501,CHEMBL3142923,9089338,1
850,P08172,WIHMMKGUBDZGEG-UHFFFAOYSA-N,IC50,316.23,nM,ChEMBL,CHEMBL211,CHEMBL244946,17867665,1
851,P35351,JNTFMOXDOZPNHL-UHFFFAOYSA-N,IC50,30000,nM,ChEMBL,CHEMBL257,CHEMBL276381,8421274,0
852,P32239,YVJJONKXKUYZME-UHFFFAOYSA-N,IC50,58,nM,ChEMBL,CHEMBL298,CHEMBL343949,8277510,1
853,P24530,ZUISPZKCFZDABE-YZIHRLCOSA-N,IC50,>100000,nM,ChEMBL,CHEMBL1785,CHEMBL323989,9703472,0
854,P30551,KPCQGKBAMIZDQX-DLWDNQHBSA-N,IC50,2784,nM,ChEMBL,CHEMBL2871,CHEMBL337310,9438020,0
855,P34976,WHYBIAYORHDUQP-UHFFFAOYSA-N,IC50,160,nM,ChEMBL,CHEMBL3948,CHEMBL131676,8277505,1
856,P49684,WKSXYCNWZUFKAC-HHHXNRCGSA-N,IC50,13,nM,ChEMBL,CHEMBL4921,CHEMBL578204,19731961,1
857,P61169,PNJBDZLOVISXIH-UHFFFAOYSA-N,IC50,2500,nM,ChEMBL,CHEMBL339,CHEMBL355917,1336054,0
858,P51677,PXKUWXKCLMVULX-UHFFFAOYSA-N,IC50,81,nM,ChEMBL,CHEMBL3473,CHEMBL123585,12166951,1
859,P30551,PICDFDQFHOVESX-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL2871,CHEMBL137810,8277510,0
860,P29371,WQZUOBIIPDZRJP-WUFINQPMSA-N,IC50,2650,nM,ChEMBL,CHEMBL4429,CHEMBL290364,"Bioorg. Med. Chem. Lett., (1996) 6:14:1623",0
861,P25023,RJDOLVVDEBVTNY-UHFFFAOYSA-N,IC50,>100000,nM,ChEMBL,CHEMBL2501,CHEMBL349046,11266174,0
862,P33533,ABAHQIMHTWGRPU-OUZCYRFOSA-N,IC50,20000,nM,ChEMBL,CHEMBL269,CHEMBL307614,1320122,0
863,P0DMS8,SBOUSZPEVGCOIR-UHFFFAOYSA-N,IC50,22,nM,ChEMBL,CHEMBL256,CHEMBL124659,15203160,1
864,O43613,HOGCJGWOKMWHMI-YWZLYKJASA-N,IC50,11,nM,ChEMBL,CHEMBL5113,CHEMBL3957094,None,1
865,O95977,WMLSDMINRWPYKX-UHFFFAOYSA-N,IC50,1200,nM,ChEMBL,CHEMBL3230,CHEMBL118068,15177460,0
866,O43613,JCVMQAUFYWVRPO-LSDHHAIUSA-N,IC50,2468,nM,ChEMBL,CHEMBL5113,CHEMBL3974803,None,0
867,P41143,SIVRWHNYRCMUQF-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL236,CHEMBL198867,16153834,0
868,P08912,KRMDCWKBEZIMAB-UHFFFAOYSA-N,IC50,8.02,nM,ChEMBL,CHEMBL2035,CHEMBL629,DrugMatrix in vitro pharmacology data,1
869,Q9Y271,ZIRKQJSGWMYLAN-IBYINHFXSA-N,IC50,38,nM,ChEMBL,CHEMBL1798,CHEMBL3808968,26985325,1
870,P20309,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,IC50,206,nM,ChEMBL,CHEMBL245,CHEMBL71,DrugMatrix in vitro pharmacology data,1
871,P28564,MJJALKDDGIKVBE-UHFFFAOYSA-N,IC50,2314,nM,ChEMBL,CHEMBL3459,CHEMBL305660,DrugMatrix in vitro pharmacology data,0
872,P21554,UGBOIMKMOKBZCW-UHFFFAOYSA-N,IC50,47,nM,ChEMBL,CHEMBL218,CHEMBL1084039,20483606,1
873,P31391,DKINVODFRKTDJC-JTDOPDNRSA-N,IC50,53,nM,ChEMBL,CHEMBL1853,CHEMBL54832,12723949,1
874,P30560,HUBWQAUQKKUZCD-FQOZYLGISA-N,IC50,2300,nM,ChEMBL,CHEMBL2868,CHEMBL2112899,8126695,0
875,P19327,APKHJGDGWQDBGM-UHFFFAOYSA-N,IC50,>1000,nM,ChEMBL,CHEMBL273,CHEMBL1226,9986714,1
876,P35346,QLVKKYGVIQGKCF-SEYGNWCUSA-N,IC50,>1000,nM,ChEMBL,CHEMBL1792,CHEMBL414749,11405660,1
877,P41145,AEJRXZAXGRDVEN-UHFFFAOYSA-N,IC50,621,nM,ChEMBL,CHEMBL237,CHEMBL3186807,PubChem BioAssay data set,1
878,P50406,QHURDLNPFQFNIA-DOELHFPHSA-N,IC50,47,nM,ChEMBL,CHEMBL3371,CHEMBL578631,19739674,1
879,P08588,KYTVXLDJXMOWPN-FQEVSTJZSA-N,IC50,>10000,nM,ChEMBL,CHEMBL213,CHEMBL1090424,20181479,0
880,P56481,SGRNLJGJKBNCQI-UHFFFAOYSA-N,IC50,1.5,nM,ChEMBL,CHEMBL2854,CHEMBL9188,9544204,1
881,P25021,PLADVISFXRAPMA-UHFFFAOYSA-N,IC50,1500,nM,ChEMBL,CHEMBL1941,CHEMBL222356,15566302,0
882,P35372,GXOHMQXINVOICA-PMACEKPBSA-N,IC50,2870,nM,ChEMBL,CHEMBL233,CHEMBL2114982,10673103,0
883,P30542,JNERZSAIKWMKMW-UHFFFAOYSA-N,IC50,1200,nM,ChEMBL,CHEMBL226,CHEMBL122037,15203160,0
884,P08908,FKWIKKLASAZVLL-UHFFFAOYSA-N,IC50,63.1,nM,ChEMBL,CHEMBL214,CHEMBL53764,7752204,1
885,P08908,LMSNSIQAWQSERP-UHFFFAOYSA-N,IC50,63.1,nM,ChEMBL,CHEMBL214,CHEMBL300209,7752204,1
886,P35408,ICSJJGLAKDSPMF-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL1836,CHEMBL2181810,23721423,0
887,P21554,CWVYIGTYSQZSBO-UHFFFAOYSA-N,IC50,325.1,nM,ChEMBL,CHEMBL218,CHEMBL500688,19530697,1
888,P31390,VFCUBGIDVRNDJS-UHFFFAOYSA-N,IC50,>1000,nM,ChEMBL,CHEMBL4701,CHEMBL226177,17234422,1
889,P29274,FARDIRBBHGVIGJ-UHFFFAOYSA-N,IC50,3750,nM,ChEMBL,CHEMBL251,CHEMBL3952824,None,0
890,O43614,RHBCBAZYIYZIMR-HXUWFJFHSA-N,IC50,1892,nM,ChEMBL,CHEMBL4792,CHEMBL3962055,None,0
891,P42866,MCMMCRYPQBNCPH-DVKRWUGUSA-N,IC50,2700,nM,ChEMBL,CHEMBL2858,CHEMBL294616,9397176,0
892,P08588,BRXXHSMZWQFXJQ-LJAQVGFWSA-N,IC50,4000,nM,ChEMBL,CHEMBL213,CHEMBL1078749,20181479,0
893,P41145,MIKWKNGGOJQAOP-DPZGYPSCSA-N,IC50,>9500,nM,ChEMBL,CHEMBL237,CHEMBL3707081,12502358,0
894,P08908,YRQLRCRBEYSAIN-UHFFFAOYSA-N,IC50,>3200,nM,ChEMBL,CHEMBL214,CHEMBL399203,17524641,0
895,P30553,IMWMUTIUKLDZRB-PVHODMMVSA-N,IC50,>10000,nM,ChEMBL,CHEMBL3508,CHEMBL3350857,11708921,0
896,P30551,DPMPSXPQCRVCLR-AUURQCAXSA-N,IC50,817,nM,ChEMBL,CHEMBL2871,CHEMBL200953,16302807,1
897,P28223,KXPDUNKSCJWNNO-UHFFFAOYSA-N,IC50,256,nM,ChEMBL,CHEMBL224,CHEMBL1271985,20933409,1
898,P24530,JLOVRXYLWREQNE-UHFFFAOYSA-N,IC50,19100,nM,ChEMBL,CHEMBL1785,CHEMBL297679,9171878,0
899,P32745,RIZGPPUETXBJKW-KVMFXWMESA-N,IC50,>10000,nM,ChEMBL,CHEMBL2028,CHEMBL407120,11405660,0
900,P33533,KEGNDIMOQVJQTF-QORCZRPOSA-N,IC50,>1000000,nM,ChEMBL,CHEMBL269,CHEMBL243201,17395470,0
901,P50406,AFZSMODLJJCVPP-UHFFFAOYSA-N,IC50,5276,nM,ChEMBL,CHEMBL3371,CHEMBL508112,DrugMatrix in vitro pharmacology data,0
902,P24530,SFUOJIHGRBIUMD-UHFFFAOYSA-N,IC50,9210,nM,ChEMBL,CHEMBL1785,CHEMBL293877,"Bioorg. Med. Chem. Lett., (1997) 7:16:2093",0
903,P21453,LGBJMRRTIMHUDO-UHFFFAOYSA-N,IC50,>25000,nM,ChEMBL,CHEMBL4333,CHEMBL1354895,PubChem BioAssay data set,0
904,P32239,RWJNKNFUNQGDEQ-QFIPXVFZSA-N,IC50,>100000,nM,ChEMBL,CHEMBL298,CHEMBL304546,2153212,0
905,O43614,DHHJDMIYQGEGBX-JKSUJKDBSA-N,IC50,887,nM,ChEMBL,CHEMBL4792,CHEMBL3948876,None,1
906,P25021,PLDUPXSUYLZYBN-UHFFFAOYSA-N,IC50,1226,nM,ChEMBL,CHEMBL1941,CHEMBL726,DrugMatrix in vitro pharmacology data,0
907,P70536,SOXQJPCRICFUHO-FFMLRLECSA-N,IC50,45,nM,ChEMBL,CHEMBL3996,CHEMBL2111851,8258821,1
908,P21453,HSYUWLOZMGPYKC-UHFFFAOYSA-N,IC50,3655,nM,ChEMBL,CHEMBL4333,CHEMBL579318,PubChem BioAssay data set,0
909,P29275,HIZGJGZWISZREI-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL255,CHEMBL124725,15203160,0
910,P31391,BCXQZFAVVLDMBN-XJUMNFRESA-N,IC50,>1000,nM,ChEMBL,CHEMBL1853,CHEMBL264046,14667213,1
911,P21731,ULKXLZPONKIBOQ-UHFFFAOYSA-N,IC50,>25000,nM,ChEMBL,CHEMBL2069,CHEMBL2386080,23721423,0
912,P41145,MJDQOGYOQPSRQW-UIOOFZCWSA-N,IC50,2358,nM,ChEMBL,CHEMBL237,CHEMBL386531,16750366,0
913,O95977,BPANWCJVYBGZFM-UHFFFAOYSA-N,IC50,790,nM,ChEMBL,CHEMBL3230,CHEMBL224799,15615513,1
914,P08908,RTHIBOYVHBRSHH-UHFFFAOYSA-N,IC50,2,nM,ChEMBL,CHEMBL214,CHEMBL293923,9622542,1
915,P28335,SGTNSNPWRIOYBX-UHFFFAOYSA-N,IC50,297,nM,ChEMBL,CHEMBL225,CHEMBL6966,DrugMatrix in vitro pharmacology data,1
916,P24530,LVGJFPBFENMSKI-UHFFFAOYSA-N,IC50,1600,nM,ChEMBL,CHEMBL1785,CHEMBL10635,9089328,0
917,P70536,SOFJTVINDOUOCN-YHZWXPKMSA-N,IC50,250,nM,ChEMBL,CHEMBL3996,CHEMBL435815,8258821,1
918,P14842,MZSPDUGCCTYLQZ-UHFFFAOYSA-N,IC50,641,nM,ChEMBL,CHEMBL322,CHEMBL431000,7914536,1
919,P33535,XQTZSVYIDWTVDS-YZIHRLCOSA-N,IC50,>2500,nM,ChEMBL,CHEMBL270,CHEMBL319790,9288176,0
920,P20272,KSTKWABAMFGXGP-UHFFFAOYSA-N,IC50,22.4,nM,ChEMBL,CHEMBL3571,CHEMBL487170,18954042,1
921,P08912,XDRYMKDFEDOLFX-UHFFFAOYSA-N,IC50,2885,nM,ChEMBL,CHEMBL2035,CHEMBL55,DrugMatrix in vitro pharmacology data,0
922,P21554,WTZBQRKRMSBFEP-UHFFFAOYSA-N,IC50,95,nM,ChEMBL,CHEMBL218,CHEMBL3341862,25162172,1
923,P25101,CPFCIOFJGQIPIZ-UHFFFAOYSA-N,IC50,45,nM,ChEMBL,CHEMBL252,CHEMBL47765,9171878,1
924,P07550,WSYSXRRMUFZVGL-MWLMUJSGSA-N,IC50,2400,nM,ChEMBL,CHEMBL210,CHEMBL124584,11212115,0
925,Q75Z89,BBZRRZHQHYRCIA-UHFFFAOYSA-N,IC50,14454.4,nM,ChEMBL,CHEMBL3446,CHEMBL53490,9191957,0
926,P30551,HAHDIJYZOQGECB-GIIILEAUSA-N,IC50,>1000,nM,ChEMBL,CHEMBL2871,CHEMBL3350282,11405658,1
927,P24530,ZREAINGGZLCPQB-YCGDUCFESA-N,IC50,600,nM,ChEMBL,CHEMBL1785,CHEMBL332144,10479299,1
928,P70536,WQYLWNQAMGCVOP-ZIJMMUQSSA-N,IC50,32,nM,ChEMBL,CHEMBL3996,CHEMBL20126,"Bioorg. Med. Chem. Lett., (1995) 5:2:119",1
929,P41144,XMCRIXOSMMNNPQ-LPUCCUGCSA-N,IC50,113,nM,ChEMBL,CHEMBL3952,CHEMBL2369125,8691442,1
930,Q63931,IJHCWGDIGBABKC-GDHOWUIUSA-N,IC50,>12000,nM,ChEMBL,CHEMBL3501,CHEMBL407057,8831778,0
931,P51679,ZEZPDHKACVMMCD-UHFFFAOYSA-N,IC50,<3000,nM,ChEMBL,CHEMBL2414,CHEMBL452864,19053768,0
932,P35408,IIFAMQPKNXRNCV-VMPITWQZSA-N,IC50,13000,nM,ChEMBL,CHEMBL1836,CHEMBL475348,19188065,0
933,P33533,KWGMXBJZDBBUHD-ZROJVYTPSA-N,IC50,42,nM,ChEMBL,CHEMBL269,CHEMBL2372409,8201592,1
934,P35462,XJHVIMRPUTXKEU-UHFFFAOYSA-N,IC50,2508,nM,ChEMBL,CHEMBL234,CHEMBL1222363,20655748,0
935,P34976,ODISHMFPJYIVHR-UHFFFAOYSA-N,IC50,8,nM,ChEMBL,CHEMBL3948,CHEMBL291582,"Bioorg. Med. Chem. Lett., (1994) 4:1:69",1
936,P07550,RADHVVDWDLYMPY-QHCPKHFHSA-N,IC50,>10000,nM,ChEMBL,CHEMBL210,CHEMBL1085442,20181479,0
937,P30553,CZJDJQPIKKCDGV-ZZXHUEHTSA-N,IC50,>10000,nM,ChEMBL,CHEMBL3508,CHEMBL338146,11020292,0
938,P49146,CCJIUBMPDVWYLU-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL4018,CHEMBL491762,18637668,0
939,P61169,RDPIPNDQCUEYHW-UHFFFAOYSA-N,IC50,8100,nM,ChEMBL,CHEMBL339,CHEMBL310712,10377229,0
940,P08908,FZGWDCDUMFWUEO-UHFFFAOYSA-N,IC50,5011.87,nM,ChEMBL,CHEMBL214,CHEMBL470432,19261477,0
941,P25101,PYTGPPKMIDNVTB-UHFFFAOYSA-N,IC50,22,nM,ChEMBL,CHEMBL252,CHEMBL175111,12617929,1
942,P07550,UTVXTXZVGPURRH-PMERELPUSA-N,IC50,860,nM,ChEMBL,CHEMBL210,CHEMBL304991,10999482,1
943,P25101,GRLXMEBTWXGKTK-XNAUMBEWSA-N,IC50,1,nM,ChEMBL,CHEMBL252,CHEMBL323951,9703472,1
944,P35462,KLBQZWRITKRQQV-UHFFFAOYSA-N,IC50,9.892,nM,ChEMBL,CHEMBL234,CHEMBL479,DrugMatrix in vitro pharmacology data,1
945,Q62758,XRXDAJYKGWNHTQ-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL4317,CHEMBL18772,9357534,0
946,P25101,PTJMLGSZIHLGQN-UHFFFAOYSA-N,IC50,574,nM,ChEMBL,CHEMBL252,CHEMBL45723,9171878,1
947,P41145,BPAUOCUWBGMWCQ-CVEARBPZSA-N,IC50,579,nM,ChEMBL,CHEMBL237,CHEMBL3186033,PubChem BioAssay data set,1
948,P70536,UHAAABVBSFIWRT-OBZNHSRCSA-N,IC50,260,nM,ChEMBL,CHEMBL3996,CHEMBL130770,8258821,1
949,P30551,QWUOJZKXQRFGRI-UHFFFAOYSA-N,IC50,7470,nM,ChEMBL,CHEMBL2871,CHEMBL8922,9544204,0
950,P56481,HZLUNFDOYSGNBE-PCPANJJGSA-N,IC50,8.2,nM,ChEMBL,CHEMBL2854,CHEMBL262456,"Bioorg. Med. Chem. Lett., (1997) 7:15:2009",1
951,P31390,UEQUQVLFIPOEMF-UHFFFAOYSA-N,IC50,0.006,nM,ChEMBL,CHEMBL4701,CHEMBL6437,10447960,1
952,Q13258,PXGPLTODNUVGFL-YNNPMVKQSA-N,IC50,4500,nM,ChEMBL,CHEMBL4427,CHEMBL815,11708917,0
953,P28335,WTOMXQPJJMYNRR-BJMVGYQFSA-N,IC50,>10000,nM,ChEMBL,CHEMBL225,CHEMBL197050,16134937,0
954,P50052,OXCMYAYHXIHQOA-UHFFFAOYSA-N,IC50,10000,nM,ChEMBL,CHEMBL4607,CHEMBL995,"Bioorg. Med. Chem. Lett., (1994) 4:18:2229",0
955,P32745,XZKUZAYGGPSGDH-KMPAIWONSA-N,IC50,>1000,nM,ChEMBL,CHEMBL2028,CHEMBL3350901,14667215,1
956,P28223,UUOJIACWOAYWEZ-UHFFFAOYSA-N,IC50,1581,nM,ChEMBL,CHEMBL224,CHEMBL357995,DrugMatrix in vitro pharmacology data,0
957,P20288,HQGDPZPNAXRCSA-UHFFFAOYSA-N,IC50,335,nM,ChEMBL,CHEMBL3998,CHEMBL325238,7902869,1
958,P41143,HICLVBHTXPRGHR-PXNSSMCTSA-N,IC50,2,nM,ChEMBL,CHEMBL236,CHEMBL308128,11448220,1
959,P24530,KMMZABBBQDVUIN-LNRXMEIDSA-N,IC50,300,nM,ChEMBL,CHEMBL1785,CHEMBL29265,"Bioorg. Med. Chem. Lett., (1995) 5:13:1401",1
960,P61169,APVKUEQCIJVHTM-UHFFFAOYSA-N,IC50,900,nM,ChEMBL,CHEMBL339,CHEMBL555427,1360027,1
961,P56481,BAERKTIXPZLGLW-MHDHXZMLSA-N,IC50,18000,nM,ChEMBL,CHEMBL2854,CHEMBL169174,"Bioorg. Med. Chem. Lett., (1994) 4:7:867",0
962,O95977,SHQNRSGKLNMHOS-UHFFFAOYSA-N,IC50,70,nM,ChEMBL,CHEMBL3230,CHEMBL194419,16621543,1
963,P11229,WWXXBKMUWRZJRN-UHFFFAOYSA-N,IC50,1941,nM,ChEMBL,CHEMBL216,CHEMBL123099,9986705,0
964,P51682,DUFKTZBQJIHIAQ-VGZDNEPHSA-N,IC50,>10000,nM,ChEMBL,CHEMBL3676,CHEMBL198949,16198561,0
965,P20309,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IC50,3201,nM,ChEMBL,CHEMBL245,CHEMBL633,DrugMatrix in vitro pharmacology data,0
966,O43614,JDBTURUQQZGBCW-HOTGVXAUSA-N,IC50,>10000,nM,ChEMBL,CHEMBL4792,CHEMBL3978828,None,0
967,P24530,YKHVTFMXBOREDW-UHFFFAOYSA-N,IC50,2000,nM,ChEMBL,CHEMBL1785,CHEMBL417428,9089328,0
968,Q14330,BTQAIJPHDOPKAX-UHFFFAOYSA-N,IC50,10000,nM,ChEMBL,CHEMBL2384898,CHEMBL2181546,23679955,0
969,Q28838,VWEZMRRXAFMZHL-UHFFFAOYSA-N,IC50,40000,nM,ChEMBL,CHEMBL4744,CHEMBL51561,7912735,0
970,P41144,XJZCYMONKQXDLC-FIWHBWSRSA-N,IC50,2164,nM,ChEMBL,CHEMBL3952,CHEMBL2079569,"Bioorg. Med. Chem. Lett., (1995) 5:11:1177",0
971,P18901,NWZVCBKYDMPOQE-UHFFFAOYSA-N,IC50,38000,nM,ChEMBL,CHEMBL265,CHEMBL538012,1975274,0
972,P35408,JCYDUAGFTWKEMN-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL1836,CHEMBL2386072,23721423,0
973,P30551,RWJNKNFUNQGDEQ-QFIPXVFZSA-N,IC50,29,nM,ChEMBL,CHEMBL2871,CHEMBL304546,2153212,1
974,O43613,VZABYWQCSHQAKX-UHFFFAOYSA-N,IC50,>20000,nM,ChEMBL,CHEMBL5113,CHEMBL3338849,25248679,0
975,P70536,QXGOFOWWBUNTSX-CEQYTIJJSA-N,IC50,32,nM,ChEMBL,CHEMBL3996,CHEMBL265073,8258821,1
976,P24530,XTWOCKNOYHCLDP-UMTXDNHDSA-N,IC50,50000,nM,ChEMBL,CHEMBL1785,CHEMBL323175,9703472,0
977,P43140,AOVJKFZMDSJQDY-UHFFFAOYSA-N,IC50,280,nM,ChEMBL,CHEMBL319,CHEMBL145712,1336054,1
978,O95977,VRAGHPQXFBYHBQ-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL3230,CHEMBL371670,16190743,0
979,P21554,VXUUAXTWRYYHGE-HTAPYJJXSA-N,IC50,19.5,nM,ChEMBL,CHEMBL218,CHEMBL572271,19632830,1
980,P08908,KVVLFJLSBAOKPZ-UHFFFAOYSA-N,IC50,1995.26,nM,ChEMBL,CHEMBL214,CHEMBL3736156,26565745,0
981,P29274,CQUWKHKELQQYRI-KGENOOAVSA-N,IC50,>10000,nM,ChEMBL,CHEMBL251,CHEMBL1210154,20591666,0
982,P18825,PHVGLTMQBUFIQQ-UHFFFAOYSA-N,IC50,203,nM,ChEMBL,CHEMBL1916,CHEMBL445,DrugMatrix in vitro pharmacology data,1
983,P21731,WGXIPXHUOIQNGL-UHFFFAOYSA-N,IC50,62400,nM,ChEMBL,CHEMBL2069,CHEMBL1916697,21958540,0
984,P34972,PZSBYWQVUJSNFN-UHFFFAOYSA-N,IC50,4234.4,nM,ChEMBL,CHEMBL253,CHEMBL493916,18712856,0
985,P25101,SLBYWDJLJLBXGV-UHFFFAOYSA-N,IC50,8.3,nM,ChEMBL,CHEMBL252,CHEMBL310427,"Bioorg. Med. Chem. Lett., (1996) 6:20:2393",1
986,P08173,KRMDCWKBEZIMAB-UHFFFAOYSA-N,IC50,5.297,nM,ChEMBL,CHEMBL1821,CHEMBL629,DrugMatrix in vitro pharmacology data,1
987,P35346,UNAWBWKMKCINLS-SKBYNKKQSA-N,IC50,2359,nM,ChEMBL,CHEMBL1792,CHEMBL3349608,9544214,0
988,P14416,MNVXJRRRFDLIDB-UHFFFAOYSA-N,IC50,50,nM,ChEMBL,CHEMBL217,CHEMBL292943,9873481,1
